SMS,anger,anticipation,disgust,fear,joy,love,neutral,optimism,pessimism,sadness,surprise,trust
 Bohat achayy... ulta choor police ko dantay..,1,0,0,0,0,0,0,0,1,0,1,0
 office bhi sth ly gye hain kia,1,0,0,0,0,0,0,0,1,0,0,0
"""Lo Pagal -_-
Mne usko text kharka dia",1,0,1,0,0,0,0,0,1,0,0,0
#?Rabiya? Afzal senior ban k logon ka time waste karna ata ha tmhain .... jab members ko ans nai ,1,0,1,0,0,0,0,0,0,0,0,0
"Ab apni oukat me rahi free maat ho,",1,0,1,0,0,0,0,0,0,0,0,0
Ab kbi zndgi main tmhain nai khna oka bye na lo,1,0,1,0,0,0,0,0,0,0,0,0
Ab tum kh k so gai ho to ?? Phir khti ho k ma reply nai krta hun ,1,0,1,0,0,0,0,0,0,0,0,0
abi soya utha hn yr rplyy na aye to banda call kr k utha e deta ha,1,0,0,0,0,0,0,0,0,0,0,0
Aik msg kar k 2 gntay bad 2sra msg isay bat karna nai khtay,1,0,0,0,0,0,0,0,0,0,0,0
ajeeb badmashi ha yar....nhi sorry yar ma nhi a sakta na smjho jnb,1,0,0,0,0,0,0,0,0,0,0,0
"Aor jin jin ko wo latka deta haii they are duel face people munafiq, doghlay,, ",1,0,1,0,0,0,0,0,0,0,0,0
Aor tera leader ko bhi IK ... Sab saa bara fasadi,1,0,1,0,0,0,0,0,0,0,0,0
Ay woto chota sa issue hoga. Mar manhus,1,0,0,0,0,0,0,0,0,0,0,0
bndaa reply ee kr dy :-@,1,0,0,0,0,0,0,0,0,0,0,0
"Bolo irsa, kon kon a rha hy or ye sb kia ho rha hy, raaat tk to sub many huy thy except huda, ub kis ko masla hy? ,",1,0,0,0,0,0,0,0,0,0,0,0
chk mil k bat krty hain c.u tc byee byeee chwl insan :-@,1,0,0,0,0,0,0,0,0,0,0,0
"Dekha nhi th k abi video mein kuch nhi nikla th tb b uski tai haya k e khilaaf bol rhi t apni beti ko bachanay k liye, halanke unko b pta th k wo phone pe baat krti t raaton ko :@",1,0,0,0,0,0,0,0,0,0,0,0
Dil ni kr raha kse ku b moo laganae ka. Mood ni teak.,1,0,0,0,0,0,0,0,0,0,0,0
Dil to kal tu ny tora tha comitment kr k thud karwa diya,1,0,1,0,0,0,0,0,0,0,0,0
Glacier.... :'( :'( :'( ye ziadti hai.... Zeeshan Rehman,1,0,0,0,0,0,0,0,0,1,0,0
"go bhi ho gai no mean no,",1,0,0,0,0,0,0,0,0,0,0,0
had ho ggai hy no reply na call mjhy balanve dalwana pary gaa call kr,1,0,1,0,0,0,0,0,0,0,0,0
"Hamza ko pta hai naw bs bht hai nd supply ka bhe btana zr0ri nhe tha ,mai pagal tw nhe jo 2din se kixi ka ph0ne nhe utha raha ..itx k",1,0,0,0,0,0,0,0,0,0,0,0
Han fb py dykha tha saali frnd requst accept nai kr rhi hy abi to ,1,0,1,0,0,0,0,0,0,0,0,0
"Han g a gai a,par mera khyal c k alay students nu email ani a,agr baqi students nu email a gai hoi te fer te lrai bndi a,mera dil hai c ais dfa jane te",1,1,0,0,0,0,0,0,0,0,0,0
Han yr 10bjy tk absent ni lgti n dean to hai e zalim..,1,0,1,0,0,0,0,0,0,0,0,0
Hanjee..mje pata hay..pr mra gift vo nai hay..gift tyar rakhna,1,0,0,0,0,0,0,0,0,0,0,0
Hmm but this the last time next time bardash nai ho ga..,1,0,0,1,0,0,0,0,0,0,0,0
"Hmm..logo ki phyci kO smjna bhttg mushkil ha...apny mtlb k liye kch b kary gy...
Jb kaam khtm kary ga tO chOti he karni ha aur kya bchy ka achar dalna ha...!!",1,0,1,0,0,0,0,0,0,0,0,0
Hun pta tey hai k goal tey hona nai gussa e.kad laiye,1,0,0,0,0,0,0,0,0,0,0,0
Ik hor lag gya southe de loray,1,0,0,0,0,0,0,0,0,0,0,0
Is waqt bechare idps sub se zyada tap rhe hn ge halat dekh k,1,0,0,0,0,0,0,0,0,0,0,0
"Itna me bewakoof to ni  tm BC ko do,",1,0,0,0,0,0,0,0,0,0,0,0
Jab dekhO clash iv clans ma ghussa hOta ha,1,0,0,0,0,0,0,0,0,0,0,0
Jitne b hn! Ab tm aur huda dscs kr e rae the to mje b bula lete mje wese b aisi dscsnzz me bara maza ata e! ,1,0,0,0,1,0,0,0,0,0,0,0
joo kr ry acha nai kr ry hoo nd listen mubeen ap ny kaha tha k m tang ajao ga ap sy par ap agai mjh sy tang,1,0,1,0,0,0,0,0,0,0,0,0
K bs ab koi bat ni karni us se,1,0,0,0,0,0,0,0,0,0,0,0
K namaz pa tha main kasay atend karta phn,1,0,0,0,0,0,0,0,0,0,0,0
kbi engine ka masla par jata hy kabi koi or,1,0,1,0,0,0,0,0,0,0,0,0
Khtay hain na k log matlb k bgair na to ksi ko bulatay hain aur na hi un say bat krtay hain yeh kysi insaniat ha madam g ??,1,0,1,0,0,0,0,0,0,0,0,0
Khud ni pena ok cigret ok. ni to phr pata hy na dear. jan nekal du gai.,1,0,0,0,0,0,0,0,0,0,0,0
Khud pay itna gror na kia karo future main bugtoo gi bhtt yad rkhna mari baat ,1,0,1,0,0,0,0,0,0,0,0,0
Kia my diercter k pao pakert,1,0,0,0,0,0,0,0,0,0,0,0
Laram ugay shwm ne ne ne ne ne bs za ba dono amigano ta waim ch zama da kamzori ghata waja zama khaza da pa ghanto ghanto wait kai rabandi :/ ,1,0,0,0,0,0,0,0,0,0,0,0
Last days ki wja se load to zada e hoga systems pe unke. Lkn hmaray pass b to tym km h. Or ooper se h b mashallah itnaaaa lmba chora procedure :@,1,0,0,0,0,0,0,0,0,0,0,0
Lol ab phone be ma la kr do :/,1,0,0,0,0,0,0,0,0,0,0,0
"Main aini mushkil nal thesis da template  bnaya c,hun bas haali jga pur krni c,aur print kdna c,styles save kr lye c,par hun fer latex vich bnana pena a",1,0,0,0,0,0,0,0,0,0,0,0
Mam mehwish ik mail hmari management ko b kar deti to shayad un ko kuch hosh a jata,1,1,0,0,0,0,0,0,0,0,0,0
