Text,anger,anticipation,disgust,fear,joy,love,optimism,pessimism,sadness,surprise,trust,neutral
Jab neche ajao to bta dena,0,0,0,0,0,0,0,0,0,0,0,1
Jab raqm chali jai gi tujhai msg aaai ga,0,0,0,0,0,0,0,0,0,0,0,1
Jab tu easy paisa krai ga naa,0,0,0,0,0,0,0,0,0,0,0,1
Jalal fan ka hy 1900 ka with 2 year warranty,0,0,0,0,0,0,0,0,0,0,0,1
Jaldi reply ker diya bhae Cricket ?,0,0,0,0,0,0,0,0,0,0,0,1
jaldi sy oop a section ma enrol kr ly meri ho gyi ha.,0,0,0,0,0,0,0,0,0,0,0,1
"Jawad shafi and rab nawaz jadoon (outdoor navigation system for organizations , remote control nfc enabled smartphone, pick me mobile app, mobile travel guide ) 2- mehwish fatima(detection of malicious apps on osn)",0,0,0,0,0,0,0,0,0,0,0,1
Jb ao g phr e btaun ga na,0,0,0,0,0,0,0,0,0,0,0,1
Jb ao ge phr e utarun ga na yr,0,0,0,0,0,0,0,0,0,0,0,1
jb ma n ki tb tera numb buzi ja raha tha,0,0,0,0,0,0,0,0,0,0,0,1
jb mal a raha ho tu koi ni uthta 6 bjy,0,0,0,0,0,0,0,0,0,0,0,1
"Jb tu 25 dy ga to mery 2 se 4 hath ni ho jayn gy mai tym limit ki bat kr rha hu tym bht lgta hy rephrasing p,jitna km hoga utni asani s ho jye ga or jo jo required hy report m wohi likh extra likhny ka koi faida ni",0,0,0,0,0,0,0,0,0,0,0,1
Jigar me references ka kr raha hn tme bejta hn... me bike pe tha is liay nai reply kia,0,0,0,0,0,0,0,0,0,0,0,1
aoa sir mera 2 se 5 exam ha..i cant meet you today...becz ma ne late ana ha,0,1,0,0,0,0,0,0,0,0,0,0
aoa sir when you will be available in new campus?,0,1,0,0,0,0,0,0,0,0,0,0
"Aoa sir,can i come to your office today? Whats your office num?",0,1,0,0,0,0,0,0,0,0,1,0
"aoa sir,i will come uni at 12,ap free hon gay??",0,1,0,0,0,0,0,0,0,0,0,0
"aoa sir,tuesday ko kis time mil sakty han ap?",0,1,0,0,0,0,0,0,0,0,0,0
But kia kar sakty hain ab,0,0,1,0,0,0,0,0,0,0,0,0
Buy shekh and qadri jese logo k peeche lag k khan has disappointed a lot,0,0,1,0,0,0,0,0,0,0,0,0
Call to ap attend crty ni msg crdo mjy kam hova hy ya ni,0,0,1,0,0,0,0,0,0,0,0,0
Car muskil bhot khrab hui v hai.. Petrol pa ni chalti gas pa sahe chlti nd gas milti he ni,0,0,1,0,0,0,0,0,0,0,0,0
Cell pe ap ne ghayeb hojana hota hai 2 min baad,0,0,1,0,0,0,0,0,0,0,0,0
chal ay jhootiiii -_- :P :D,0,0,1,0,1,0,0,0,0,0,0,0
Plz ab ap tu ans do ho kdr ap log,0,0,0,1,0,0,0,0,0,0,0,0
pta ni site ni chk ki ppr ki tyari kr ra hn nd u ny ?,0,0,0,1,0,0,0,0,0,0,0,0
"pti to es waqat jis mosibat sy guzar rha hy me us ko mehsoos kr sakta ho ....
ye mosibat sirf Allah kam kar sakta hy ...
pti tujhy ab sabar karna pry ga or mazboot hona pry ga....w
beshak quran me hy ke har mushkil k sath asani h...
insha Allah jaise jaise din guRy gay ye preshani kam hoti jati ge...",0,0,0,1,0,0,1,0,0,0,0,0
"Q kheriyat, apko kya lg rha ?",0,0,0,1,0,0,0,0,0,0,0,0
"Quiz hona ha dono ka and coal ki assignment,",0,0,0,1,0,0,0,0,0,0,0,0
Ram bhe upgrade krani paray gi. Aur mera system.bhe kisi kam ka nai rahay ga jab new server kru ga isi liye tou kah ra hu mere se kam paisaylo,0,0,1,1,0,0,0,0,1,0,0,0
Haha hmri to tymng chnge hti rrhti r kbi pura pura dn ni jti ... pr ab grmi hny lgi hy to lyt b jjna shru ho gy hai ... phly mausam thk tha to ni ja ri thi ... ulti khopri fit hy un me to ... ,0,0,0,0,1,0,0,0,0,0,0,0
Haha m to nhe dyta use usb,0,0,0,0,1,0,0,0,0,0,0,0
Haha ni mra wo mtlb ni thaa kher bht lambi baaten hain kbi na kabi samjh ayen gi apko ,0,1,0,0,1,0,0,0,0,0,0,0
Haha sach kbi kbi mu sa nikal ata ha,0,0,0,0,1,0,0,0,0,0,0,0
Haha waisay farhat say mje bht umeedain hain,0,1,0,0,1,0,0,0,0,0,0,0
"Haha, kaha to h wo namuna th :D",0,0,0,0,1,0,0,0,0,0,0,0
"Salam
G achhaa ho gaya.
its the best I could deliver",0,0,0,0,0,1,0,0,0,0,0,0
"Salam
Jani advance algorithm ka course para hy?",0,1,0,0,0,1,0,0,0,0,0,0
Shama pleeeez take care of ur self.,0,0,0,0,0,1,0,0,0,0,0,0
Shzada h tu kml karta ha yrrr...tu aja bas,0,0,0,0,0,1,0,0,0,0,0,0
Achi baat hai experience se e insaan seekhta hai good,0,0,0,0,0,0,1,0,0,0,0,0
Agr aaj thek na hua tu umed h kal thek ho jaye ga lazmi.,0,0,0,0,0,0,1,0,0,0,0,0
Agr aap ka pu ya uet ho jata hy tu shabaz sharif ka laptop mil hi jahy ga,0,0,0,0,0,0,1,0,0,0,0,0
Agr madam chor k na gaen tou ,0,0,0,0,0,0,1,0,0,0,0,0
